OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SL-16 R/B,1994-074B,2026-05-18T01:11:17.715840,14.79474186,.0006628,97.7011,166.0239,8.9827,44.5794,0,U,23343,999,69750,.38978E-4,.242E-5,0
SL-16 R/B,1994-077B,2026-05-18T03:49:23.177856,14.15570571,.0001224,70.9824,206.3357,5.2220,354.8915,0,U,23405,999,62606,.14988E-3,.245E-5,0
ARIANE 40+ R/B,1995-021B,2026-05-18T03:58:55.265088,14.39815091,.0005535,98.4419,208.6729,298.3011,89.7383,0,U,23561,999,62924,.6501E-4,.16E-5,0
SL-16 R/B,1995-058B,2026-05-18T02:22:31.800288,14.15506713,.0012226,71.0230,34.5302,4.0840,356.0380,0,U,23705,999,57767,.15791E-3,.261E-5,0
SL-16 R/B,1996-051B,2026-05-18T03:29:19.943808,14.12435011,.0013202,70.7634,28.2309,25.4947,334.6821,0,U,24298,999,53145,.93011E-4,.123E-5,0
ORBVIEW 2 (SEASTAR),1997-037A,2026-05-18T04:31:28.915104,14.35536391,.0001871,98.8664,304.3805,184.8305,175.2861,0,U,24883,999,51844,.58155E-4,.121E-5,0
SL-16 R/B,1998-043G,2026-05-18T02:56:52.391904,14.26063002,.0009995,98.8350,92.0269,167.0516,193.0922,0,U,25400,999,44888,.12313E-4,-.16E-6,0
SL-16 R/B,1998-045B,2026-05-18T03:30:53.236800,14.16201241,.0009759,71.0128,35.5067,277.2833,82.7180,0,U,25407,999,43693,-.8582E-4,-.218E-5,0
ISS (ZARYA),1998-067A,2026-05-18T04:45:01.329120,15.49256023,.0007513,51.6325,88.5573,70.6653,289.5148,0,U,25544,999,56710,.12105E-3,.6286E-4,0
CZ-4B R/B,1999-025C,2026-05-18T02:00:11.509056,14.18277794,.0037832,98.6507,180.6763,143.9138,270.5911,0,U,25732,999,39800,.38696E-4,.38E-6,0
OKEAN-O,1999-039A,2026-05-18T03:15:14.239872,14.80427417,.0001974,97.9334,197.2759,97.5685,262.5751,0,U,25860,999,44466,.56477E-4,.379E-5,0
SL-16 R/B,1999-039B,2026-05-18T02:49:46.013952,14.81811921,.001556,97.9856,197.0641,36.8726,323.3554,0,U,25861,999,44714,.43295E-4,.288E-5,0
DELTA 2 R/B,1999-041E,2026-05-18T02:15:44.985024,14.11959405,.0501796,51.7645,24.0070,193.1137,165.6334,0,U,25876,999,37283,.5713E-4,.114E-5,0
HELIOS 1B,1999-064A,2026-05-17T23:38:01.214592,14.87917628,.00015237,98.1638,42.2489,128.7273,231.4079,0,U,25977,999,69556,.99770586E-4,.855E-5,0
TERRA,1999-068A,2026-05-18T03:49:28.494048,14.61076786,.0001719,97.9476,188.8930,3.8943,59.4657,0,U,25994,999,40522,.58208E-4,.242E-5,0
SL-16 R/B,2000-006B,2026-05-18T04:19:04.549728,14.15830745,.0014454,71.0017,311.7212,73.9303,286.3410,0,U,26070,999,35839,-.41641E-4,-.13E-5,0
TITAN 4B R/B,2000-047B,2026-05-18T04:31:38.688672,15.10021931,.0044366,67.9872,205.0001,317.8479,41.9261,0,U,26474,999,40340,.98887E-4,.1507E-4,0
ENVISAT,2002-009A,2026-05-18T03:11:22.379424,14.39056951,.0001218,98.3820,90.1249,91.9245,278.6838,0,U,27386,999,26916,.25177E-4,.35E-6,0
IDEFIX & ARIANE 42P R/B,2002-021B,2026-05-18T01:33:40.758048,14.31066226,.001164,98.5937,75.8766,349.5968,10.4972,0,U,27422,999,25394,.6596E-4,.13E-5,0
AQUA,2002-022A,2026-05-18T03:32:53.052000,14.62107086,.0002048,98.4262,106.8352,72.3040,344.5769,0,U,27424,999,27888,.10443E-3,.475E-5,0
CZ-4B R/B,2002-024C,2026-05-18T04:20:27.993120,14.14559107,.0050117,98.8720,191.1923,184.3733,246.7192,0,U,27432,999,23906,.34228E-4,.22E-6,0
MIDORI II (ADEOS-II),2002-056A,2026-05-17T19:51:08.282016,14.29330898,.00017864,98.7864,96.8329,118.0925,242.0438,0,U,27597,999,22017,.7573245E-4,.147E-5,0
H-2A R/B,2002-056E,2026-05-18T03:13:14.034144,14.33806587,.006931,98.3300,95.9071,315.5858,54.1865,0,U,27601,999,22406,.64177E-4,.141E-5,0
CZ-4B R/B,2003-049C,2026-05-17T16:47:58.514784,14.55076336,.00485847,98.6899,135.3347,22.5289,337.8025,0,U,28059,999,19663,.57962313E-4,.202E-5,0
CZ-2C R/B,2004-012C,2026-05-18T04:37:54.622848,15.73519767,.0010497,97.7111,210.5024,58.4234,301.8053,0,U,28222,999,21517,.3655E-3,.51081E-3,0
SL-16 R/B,2004-021B,2026-05-18T04:18:23.813856,14.14606153,.0006957,70.9999,86.6623,286.0333,74.0023,0,U,28353,999,13266,.1904E-3,.318E-5,0
CZ-4B R/B,2004-035C,2026-05-18T01:19:39.126144,15.30127215,.0033109,97.3387,171.4765,83.1831,277.3175,0,U,28415,999,19051,.20599E-3,.6028E-4,0
CZ-2C R/B,2004-046B,2026-05-18T04:21:37.094112,14.27018061,.0138394,98.1963,48.8339,309.7643,49.1414,0,U,28480,999,11841,.47052E-4,.84E-6,0
ARIANE 5 R/B,2004-049H,2026-05-18T00:28:16.293792,14.85395957,.0085074,98.2704,309.1123,125.9117,235.0031,0,U,28499,999,15608,.64364E-4,.527E-5,0
CZ-2D R/B,2005-024B,2026-05-18T00:44:23.932320,15.66303452,.00067,97.3507,156.0288,117.6746,242.5194,0,U,28738,999,15061,.38133E-3,.39419E-3,0
